,average,ndays,1 year ago,10 years ago,increase since 1800
2023-08-04,420.16,,,,
2023-08-06,420.02,6.0,417.36,395.65,141.38
2023-08-11,419.03,,,,
2023-08-13,418.98,4.0,417.25,395.24,140.84
2023-08-18,419.25,,,,
2023-08-20,419.31,2.0,416.64,395.22,141.63
2023-08-25,419.27,,,,
2023-08-27,419.27,5.0,416.42,394.45,142.02
2023-09-01,418.64,,,,
2023-09-03,418.64,4.0,416.27,393.92,141.74
2023-09-08,418.52,,,,
2023-09-10,418.52,2.0,416.15,393.52,141.89
2023-09-15,418.33,,,,
2023-09-17,418.33,5.0,415.65,393.79,141.87
2023-09-22,418.28,,,,
2023-09-24,418.29,7.0,415.34,393.46,141.91
2023-09-29,418.35,,,,
2023-10-01,418.31,6.0,415.3,393.52,141.91
2023-10-06,418.47,,,,
2023-10-08,418.53,5.0,415.39,393.58,142.02
2023-10-13,419.56,,,,
2023-10-15,419.46,7.0,415.82,393.98,142.75
2023-10-22,418.91,6.0,416.19,394.23,141.93
2023-10-29,419.05,7.0,416.41,394.47,141.77
2023-11-05,419.28,5.0,417.0,394.8,141.68
2023-11-12,421.22,6.0,417.31,395.64,143.29
2023-11-19,421.21,5.0,418.38,395.26,142.95
2023-11-26,420.31,2.0,417.81,396.21,141.75
2023-12-03,421.02,2.0,419.23,396.43,142.16
2023-12-10,422.2,7.0,418.82,396.39,143.05
2023-12-17,422.24,5.0,419.06,397.72,142.82
2023-12-24,421.86,5.0,419.41,397.53,142.19
2023-12-31,422.52,4.0,419.34,397.73,142.6
2024-01-07,423.49,5.0,419.47,398.26,143.34
2024-01-14,422.84,7.0,419.3,398.05,142.49
2024-01-21,422.86,7.0,419.64,398.05,142.32
2024-01-28,422.28,6.0,419.72,398.08,141.58
2024-02-04,425.83,5.0,420.08,398.18,145.0
2024-02-11,423.54,7.0,420.9,397.99,142.6
2024-02-18,425.21,3.0,419.71,398.53,144.18
2024-02-25,425.13,7.0,421.25,398.32,144.01
2024-03-03,425.45,4.0,421.44,398.78,144.23
2024-03-10,425.74,6.0,420.08,400.31,144.38
2024-03-17,425.37,6.0,420.76,400.87,143.85
2024-03-24,425.04,4.0,421.52,400.49,143.3
2024-03-31,426.35,2.0,422.63,400.97,144.36
2024-04-07,425.86,6.0,422.68,401.36,143.59
2024-04-14,426.34,6.0,423.66,401.84,143.77
2024-04-21,427.94,5.0,424.0,401.62,145.1
2024-04-28,426.8,6.0,423.88,402.0,143.71
2024-05-05,426.92,7.0,424.32,401.9,143.66
2024-05-12,427.03,7.0,423.49,402.07,143.68
2024-05-19,426.64,6.0,423.83,401.81,143.29
2024-05-26,426.88,7.0,424.62,402.09,143.66
2024-06-02,427.06,3.0,424.47,401.85,144.05
2024-06-09,427.33,6.0,424.24,401.73,144.63
2024-06-16,426.73,4.0,423.51,401.2,144.4
2024-06-23,426.47,5.0,422.33,400.95,144.59
2024-06-30,425.61,6.0,422.67,400.41,144.21
2024-07-07,426.25,7.0,422.37,399.92,145.37
2024-07-14,425.95,5.0,421.45,398.98,145.6
2024-07-21,424.8,5.0,421.28,398.97,144.98
2024-07-28,424.88,4.0,420.83,397.65,145.6
2024-08-04,424.18,6.0,420.16,397.93,145.42
2024-08-11,422.42,3.0,419.03,397.33,144.17
2024-08-18,422.83,6.0,419.25,396.92,145.05
2024-08-25,421.36,5.0,419.27,396.42,144.01
2024-09-01,422.33,5.0,418.64,396.29,145.35
2024-09-08,422.06,3.0,418.52,395.09,145.37
2024-09-15,421.98,7.0,418.33,395.24,145.49
2024-09-22,421.71,2.0,418.28,395.47,145.32
2024-09-29,421.95,4.0,418.35,395.61,145.56
2024-10-06,422.16,4.0,418.47,395.73,145.68
2024-10-13,422.62,5.0,419.56,395.86,145.97
